SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
43659,1,4911-403C-98,1,776,1,2024.994,0,2024.994,B207C96D-D9E6-402B-8470-2CC176C42283,00:00.0
43659,2,4911-403C-98,3,777,1,2024.994,0,6074.982,7ABB600D-1E77-41BE-9FE5-B9142CFC08FA,00:00.0
43659,3,4911-403C-98,1,778,1,2024.994,0,2024.994,475CF8C6-49F6-486E-B0AD-AFC6A50CDD2F,00:00.0
43659,4,4911-403C-98,1,771,1,2039.994,0,2039.994,04C4DE91-5815-45D6-8670-F462719FBCE3,00:00.0
43659,5,4911-403C-98,1,772,1,2039.994,0,2039.994,5A74C7D2-E641-438E-A7AC-37BF23280301,00:00.0
43659,6,4911-403C-98,2,773,1,2039.994,0,4079.988,CE472532-A4C0-45BA-816E-EEFD3FD848B3,00:00.0
43659,7,4911-403C-98,1,774,1,2039.994,0,2039.994,80667840-F962-4EE3-96E0-AECA108E0D4F,00:00.0
43659,8,4911-403C-98,3,714,1,28.8404,0,86.5212,E9D54907-E7B7-4969-80D9-76BA69F8A836,00:00.0
43659,9,4911-403C-98,1,716,1,28.8404,0,28.8404,AA542630-BDCD-4CE5-89A0-C1BF82747725,00:00.0
43659,10,4911-403C-98,6,709,1,5.7,0,34.2,AC769034-3C2F-495C-A5A7-3B71CDB25D4E,00:00.0
43659,11,4911-403C-98,2,712,1,5.1865,0,10.373,06A66921-6B9F-4199-A912-DDAFD383472B,00:00.0
43659,12,4911-403C-98,4,711,1,20.1865,0,80.746,0E371EE3-253E-4BB0-B813-83CF4224F972,00:00.0
43660,13,6431-4D57-83,1,762,1,419.4589,0,419.4589,419A1302-AC7A-4044-97B2-66D9D14CD02E,00:00.0
43660,14,6431-4D57-83,1,758,1,874.794,0,874.794,5D0B2B03-1D4C-4C34-9696-C14C58E7301C,00:00.0
43661,15,4E0A-4F89-AE,1,745,1,809.76,0,809.76,EDE1759E-6733-4C7B-A43F-DC6F48002D8A,00:00.0
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0,714.7043,FE10BF09-D477-485B-9541-27AE8053A6D4,00:00.0
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0,1429.4086,B136852E-24C9-4006-8048-B14AEFE6C337,00:00.0
43661,18,4E0A-4F89-AE,4,712,1,5.1865,0,20.746,F0F410B6-BC93-4D77-B70D-E4E2465D98EE,00:00.0
43661,19,4E0A-4F89-AE,4,715,1,28.8404,0,115.3616,AE4CDA7D-9B6E-4ABB-A391-E9E9DDB10125,00:00.0
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0,1445.1898,054A9D3B-A178-4656-B2B0-9B9BDDF1C345,00:00.0
43661,21,4E0A-4F89-AE,3,775,1,2024.994,0,6074.982,8C342A15-8576-4581-AAC9-7BA3BBD8FD8B,00:00.0
43661,22,4E0A-4F89-AE,2,778,1,2024.994,0,4049.988,B2760B75-3F1A-4DC4-A377-1051C03C8EB8,00:00.0
43661,23,4E0A-4F89-AE,2,711,1,20.1865,0,40.373,935A70B5-33AD-473D-921C-8D2C36F0D93E,00:00.0
43661,24,4E0A-4F89-AE,2,741,1,818.7,0,1637.4,2F911593-E3B8-4ADF-B757-7242004FFB8E,00:00.0
43661,25,4E0A-4F89-AE,4,776,1,2024.994,0,8099.976,E8E15B60-3A73-4507-9368-A4FB27B6EE0B,00:00.0
43661,26,4E0A-4F89-AE,2,773,1,2039.994,0,4079.988,4373070F-4EBF-4C50-9DB0-96BFBE937383,00:00.0
43661,27,4E0A-4F89-AE,2,716,1,28.8404,0,57.6808,D87D5EDB-B899-4E31-B974-06617DBFFE08,00:00.0
43661,28,4E0A-4F89-AE,2,777,1,2024.994,0,4049.988,C5762004-DE9E-4339-95E5-89CC8FFF873E,00:00.0
43661,29,4E0A-4F89-AE,5,708,1,20.1865,0,100.9325,6C0D0601-76FF-441D-86D5-8343EB0063E7,00:00.0
43662,30,2E53-4802-85,3,764,1,419.4589,0,1258.3767,2DFD4D76-E020-4B80-A0A5-6463D0C2DF73,00:00.0
43662,31,2E53-4802-85,5,770,1,419.4589,0,2097.2945,1F1AA6DC-04A2-48E2-AF9F-E46D8F59AA55,00:00.0
43662,32,2E53-4802-85,2,730,1,183.9382,0,367.8764,5ACE6CB5-7341-4D88-9425-56AB7AE512E7,00:00.0
43662,33,2E53-4802-85,4,754,1,874.794,0,3499.176,DFF2A7F2-37F2-4016-BEDF-4DBB8C88B631,00:00.0
43662,34,2E53-4802-85,3,725,1,183.9382,0,551.8146,92897EE9-72A6-49E6-A421-C243B531AFF2,00:00.0
43662,35,2E53-4802-85,5,762,1,419.4589,0,2097.2945,1CE18FAA-047D-41B1-8CF6-5191C092AB3C,00:00.0
43662,36,2E53-4802-85,3,765,1,419.4589,0,1258.3767,F833CB4A-D6E3-40AC-B383-1C4E7220AFEF,00:00.0
43662,37,2E53-4802-85,2,768,1,419.4589,0,838.9178,D8E84DBD-A1ED-41E4-A9A1-0AD95FB9B323,00:00.0
43662,38,2E53-4802-85,1,753,1,2146.962,0,2146.962,491C561F-6B1E-47D0-95D5-6519654A5F47,00:00.0
43662,39,2E53-4802-85,1,756,1,874.794,0,874.794,2BA4CC58-B832-47C0-AEF4-D15D029CC083,00:00.0
43662,40,2E53-4802-85,3,763,1,419.4589,0,1258.3767,D5C51A6A-6D12-4CEB-AED4-842E78BAF142,00:00.0
43662,41,2E53-4802-85,1,732,1,356.898,0,356.898,48420C59-4FBD-4817-A1DF-613DCE40B18B,00:00.0
43662,42,2E53-4802-85,6,758,1,874.794,0,5248.764,2C4F704D-C794-4613-9C8B-258619FA20FA,00:00.0
43662,43,2E53-4802-85,1,729,1,183.9382,0,183.9382,E53F432B-3E71-4F41-9EE8-DB05A18D98F9,00:00.0
43662,44,2E53-4802-85,3,722,1,178.5808,0,535.7424,7C495EF0-4E65-4306-A47F-05F004CE5D4C,00:00.0
43662,45,2E53-4802-85,1,749,1,2146.962,0,2146.962,0F38E442-512C-4EB4-85C6-27ABFB61E2E2,00:00.0
43662,46,2E53-4802-85,3,760,1,419.4589,0,1258.3767,260A3FDA-9B77-4C6C-B67B-EFE84ED56489,00:00.0
43662,47,2E53-4802-85,1,726,1,183.9382,0,183.9382,2F0EA518-F085-4B63-A103-342408F6C8A7,00:00.0
43662,48,2E53-4802-85,1,733,1,356.898,0,356.898,7BA3862C-3C4F-4E87-8C47-25B411FA21E6,00:00.0
43662,49,2E53-4802-85,1,738,1,178.5808,0,178.5808,13404868-367F-4863-8327-6A45036D53F5,00:00.0
43662,50,2E53-4802-85,3,766,1,419.4589,0,1258.3767,C88AEBDE-9041-4A13-A065-A5E95F0AD165,00:00.0
43662,51,2E53-4802-85,1,755,1,874.794,0,874.794,7AC1F435-63EE-4D53-A532-42D7A3A610E5,00:00.0
43663,52,1E90-4FBF-B6,1,760,1,419.4589,0,419.4589,BA432515-892B-445D-B9A7-97F593A24687,00:00.0
43664,53,2F44-4BA1-BB,1,772,1,2039.994,0,2039.994,22DB5FA8-8C63-4A68-A038-435EFD6D7EA2,00:00.0
43664,54,2F44-4BA1-BB,4,775,1,2024.994,0,8099.976,7CE8E484-A956-42E3-8A8D-F677765D1DAD,00:00.0
43664,55,2F44-4BA1-BB,1,714,1,28.8404,0,28.8404,076636AF-A24F-40D7-AEDC-E1564BB16F0E,00:00.0
43664,56,2F44-4BA1-BB,1,716,1,28.8404,0,28.8404,C77B6559-1F2B-4F5F-883B-0D66CF71876D,00:00.0
43664,57,2F44-4BA1-BB,2,777,1,2024.994,0,4049.988,525334A5-1293-4379-8C59-F3B421FAADBB,00:00.0
43664,58,2F44-4BA1-BB,3,771,1,2039.994,0,6119.982,CD7E2E99-9BD7-4964-8511-303C9228CD77,00:00.0
43664,59,2F44-4BA1-BB,1,773,1,2039.994,0,2039.994,58BFD62D-5822-4C0E-AE02-B35AD7159D6E,00:00.0
43664,60,2F44-4BA1-BB,1,778,1,2024.994,0,2024.994,0A8BDF35-3273-4CE0-9A62-F07118147B9E,00:00.0
43665,61,19F0-4638-8E,2,711,1,20.1865,0,40.373,D74427B2-27E3-4749-B6E0-422FF21D3996,00:00.0
43665,62,19F0-4638-8E,1,773,1,2039.994,0,2039.994,10755C28-85C8-4DB1-B733-E2BD718210AE,00:00.0
43665,63,19F0-4638-8E,1,707,1,20.1865,0,20.1865,E4A00FC2-6EDA-40D7-AFB4-B6B4C5B3EDEE,00:00.0
43665,64,19F0-4638-8E,2,715,1,28.8404,0,57.6808,3CFB91F3-98AB-46D1-8024-DE47B3C4DAE2,00:00.0
43665,65,19F0-4638-8E,2,777,1,2024.994,0,4049.988,268C5514-A052-4D7B-A62A-DFB9F3F8DB5E,00:00.0
43665,66,19F0-4638-8E,2,712,1,5.1865,0,10.373,9342C497-F31C-4E3E-B390-189A7E7F5B0D,00:00.0
43665,67,19F0-4638-8E,2,775,1,2024.994,0,4049.988,92F2E542-BE52-42E9-94A8-F248BDAA0693,00:00.0
43665,68,19F0-4638-8E,1,778,1,2024.994,0,2024.994,7440E859-39E1-4343-9096-C91782D496DC,00:00.0
43665,69,19F0-4638-8E,6,709,1,5.7,0,34.2,4A399178-C0A0-447E-9973-6AB903B4AECD,00:00.0
43665,70,19F0-4638-8E,1,776,1,2024.994,0,2024.994,0D2A679C-6C8E-4CC2-8A55-B8DB83937AC2,00:00.0
43666,71,D46A-40CA-8D,1,764,1,419.4589,0,419.4589,0A256C7D-F7E7-408A-85B5-4E78B5B0B3B9,00:00.0
43666,72,D46A-40CA-8D,1,753,1,2146.962,0,2146.962,64220638-532F-41E5-8B4E-B95640F9627E,00:00.0
43666,73,D46A-40CA-8D,1,732,1,356.898,0,356.898,E992A08A-A9FD-4947-8EF2-51AAE82AA60E,00:00.0
43666,74,D46A-40CA-8D,1,756,1,874.794,0,874.794,2A447589-1D30-4377-9856-1A28D0D6915E,00:00.0
